初中英语单词|devise|英[dɪ'vaɪz] 美[dɪ'vaɪz]|v. 设计，发明|he devised a new method for teaching the blind.|他设计出一种教导盲人的新方法。|初中英语单词
初中英语单词|heavy|英['hevi] 美['hevi]|adj. 大（量）的；重的；沉重的；猛烈的|As we are booking heavy orders, we would advise your order at once.<br>He made efforts to move the heavy furniture.<br>The lead is heavy and the plastic is light.<br>The soldiers kept the field under heavy fire.<br>A rainbow is usually seen after a heavy rain.|因为我方的订单量非常大，我方建议贵公司毫不犹豫地立即下订单。<br>他努力搬动沉重的家具。<br>铅是重的，而塑料是轻的。<br>士兵们冒着猛烈的炮火坚守阵地。<br>大雨之后常有彩虹。|初中英语单词
初中英语单词|empty|英['empti] 美['empti]|adj. 空的；空洞的；空虚的；空腹的<br>v. 倒空；变空；排空<br>n. 空物|His room is empty.<br>His wordy and empty speech was a frost.<br>He didn't want to retire and lead an empty life.<br>This medicine must be taken on an empty stomach.<br>They emptied the biscuits onto the plate.<br>He tilted the barrel so as to empty it.<br>Getting gorgeous doesn't mean you have to empty out your wallet.<br>I had to empty out the drawer to find the papers.<br>Did you empty the washing machine?<br>The police asked everybody to empty the building.<br>You don't mind if i ask you to empty your pockets.<br>Would you empty the ashtray, please?<br>Empties are not taken back.|他的房间是空的。<br>他的冗长空洞的讲话使人厌烦。<br>他不想退休过空虚的生活。<br>这种药必须空腹服用。<br>他们把饼干倒在盘子里。<br>他将大桶倾侧倒空。<br>想让自己光彩照人并不意味着要掏空腰包。<br>我不得不倒出抽屉的东西以找出那些文件。<br>你把洗衣机的衣服都拿出来了吗？<br>警察疏散了楼里的人群。<br>你不介意我搜一下你的口袋吧？<br>请你把烟灰缸清理一下好吗？<br>不退瓶子。|初中英语单词
初中英语单词|certainly|英['sɜːtnli] 美['sɜːrtnli]|adv. 当然；一定|You are certainly a talented artist.<br>He will certainly come.<br>He'll certainly die if you do not send for a doctor right now.|你当然是位有天赋的艺术家。<br>他一定会来的。<br>如果你不马上请医生，他一定会死的。|初中英语单词
初中英语单词|full|英[fʊl] 美[fʊl]|adj. 满的；充满的；完全的<br>n. 全部；极点<br>adv. 非常；直接地<br>vt. 使衣服宽松；增厚|He gave a boring speech full of stale jokes.<br>The bottle is full of water.<br>The roses are in full bloom.<br>Sign your name in full.<br>The moon can't always be at the full.<br>They knew full well that he wouldn't keep his promise.<br>Henry hit him full in the face.|他的发言很乏味，满是陈腐的笑话。<br>瓶子里装满了水。<br>玫瑰花盛开了。<br>签下你的全名。<br>月亮并不总是都是圆的。<br>他们很清楚地知道他不会遵守诺言。<br>亨利一下正打在他的脸上。|初中英语单词
初中英语单词|be full of||充满……的|The park is full of beautiful flowers in spring.|春天，公园里到处都是美丽的花朵。|初中英语单词
初中英语单词|carry|英['kæri] 美['kæri]|v. 携带；运送；搬运；带有；传播；承载<br>n.【计】进位；运载|She came in carrying an important-looking piece of paper.<br>This is a dangerous area, so don't carry too much cash on you.<br>Pipes carry oil across the desert to the east.<br>The box is so heavy that I can't carry it.<br>His voice carries the ring of authority.<br>Many dangerous diseases are carried by insects.<br>This radio station does not carry any advertising.<br>Crimes of violence carry heavy penalties.|她进来时，拿着一份看来很重要的文件。<br>这个地区很危险，所以你身上不要带太多现金。<br>输油管把石油经过沙漠运送到东部。<br>箱子太重了，我搬不动。<br>他的声音中带有权威的口气。<br>许多危险的疾病是由昆虫传播的。<br>这家广播电台不播送任何广告。<br>暴力罪行要承受严厉的惩罚。|初中英语单词
初中英语单词|so|英[səʊ] 美[soʊ]|adv. 那么；这样；如此<br>adj. 真的；非常<br>pron. 这样<br>conj. 因此；所以；以便|He felt pity for a man suffering so much.<br>How could you be so stupid as to believe him?<br>Stand with your arms out, so.<br>The room was so hot that she felt dizzy.<br>So I really enjoyed my tea just now.<br>No matter who may say so, it is not true.<br>He's always so polite to people.<br>The city enveloped in snow looked so mysterious.<br>These glasses are very expensive, so please be careful with them.<br>It was snowing, and so I could not go out.<br>He ran quickly so as to catch the last bus.<br>Please clear your toys off so that I can study.|他对那个受过那么多痛苦的人感到同情。<br>你怎么这么笨竟相信他的话？<br>两臂伸开站著，就这样。<br>房间里如此之热，以至于她觉得头晕目眩。<br>所以刚才的茶点我真的很欣赏。<br>不管谁这样说都不是真的。<br>他对人总是非常有礼貌。<br>这座被白雪覆盖著的城市看上去非常神秘。<br>这些玻璃杯十分昂贵，因此请小心些。<br>天在下雪，所以我无法外出。<br>他跑得很快以便赶上那末班车。<br>请把你的玩具清理一下以便我能学习。|初中英语单词
初中英语单词|listen to|英['lɪsn tu] 美['lɪsən tu]|听|She liked to listen to children talk.<br>It is a waste of time to listen to his insignificant talk.<br>I am not prepared to stay and listen to these outrageous insults.<br>I am too busy to listen to her endless grievance.<br>Why don't you listen to reason?<br>Don't listen to his pretences; he is lying.<br>He should listen to his intimate feelings.<br>It is boring to listen to the same story.|她喜欢听孩子们谈话。<br>听他那些废话纯属浪费时间。<br>我可不愿意在这儿受这种奇耻大辱。<br>我太忙了，没空听她那没完没了的牢骚。<br>你干吗不服理呢？<br>别听他的种种借口，他在撒谎。<br>人应当倾听自己的内心感觉。<br>听相同的故事是令人厌烦的。|初中英语单词
初中英语单词|tape|英[teɪp] 美[teɪp]|n. 磁带；胶布；终点<br>v. 录音；录像；用胶布粘；用绳子捆绑；用卷尺测量|I've got all the Beethoven symphonies on tape.<br>Cassette tape recorders are gradually out of date now.<br>You'd better put some insulating tape on electric wires.<br>The two runners broke the tape together.<br>I taped a late-night radio show and listened to it in the morning.<br>Shall I tie the package or tape it?<br>The doctor has taped up my swollen ankle.<br>Wrap a tape measure around your waist at the level of your navel.<br>The first step is an accurate measurement of the walls that are to be covered.Use a yardstick or steel tape measure.|我有贝多芬交响乐全部的录音带。<br>现在，盒式磁带录音机渐渐过时了。<br>你最好给电线裹上绝缘胶布。<br>两位赛跑运动员在终点同时撞线。<br>我录下午夜的收音机节目，早上听。<br>我把这个包裹捆起来还是贴胶带？<br>医生用绷带把我肿起的脚踝包扎起来。<br>在腰部的肚脐水平位置用卷尺测量腰围。<br>第一步就是精确测量被覆盖了的墙面，使用标尺或者钢卷尺测量。|初中英语单词
初中英语单词|basket|英['bɑːskɪt] 美['bæskɪt]|n. 篮；篓；筐；[篮]球篮；投篮得分|Several baskets of fruit were eaten at the party.<br>The little girl stared at the little cats tumbling over each other in their basket.<br>Put the scraps of paper in the wastepaper basket.<br>There are just a few apples in the basket.<br>He had put up a basket on a pole in the back yard.<br>He made 48 baskets in the game last night.|宴会上，大家吃掉了好几篮水果。<br>小女孩凝视着在篮子里互相翻来滚去的小猫。<br>把纸屑丢进废纸篓。<br>筐里只剩下有数几个苹果了。<br>他在后院一根柱子上安一个球篮。<br>他在昨晚的比赛中独得了 48 分。|初中英语单词
初中英语单词|bottle|英['bɒtl] 美['bɑːtl]|n. 瓶子<br>vt. 抑制；把……装入瓶内|Why don't we crack open a bottle of champagne to celebrate?<br>Try not to bottle up your emotions.<br>Tell us what's worrying you; don't bottle it up!<br>Do you bottle your fruit or freeze it?|我们何不开瓶香槟酒庆祝一下呢？<br>尽量不要压抑自己的情感。<br>把心中的烦恼告诉我们，不要把它闷在心里！<br>你是把水果装在罐里保存呢，还是冷冻起来保存？|初中英语单词
初中英语单词|a bottle of||一瓶……|They sank a bottle of gin between them.<br>The host took out a bottle of 12-year-old malt whisky to entertain us.<br>He must have put away half a bottle of whisky last night.<br>He upset a bottle of ink.<br>Why don't we crack open a bottle of champagne to celebrate?<br>He gave me a bottle of orange soda.<br>They celebrated his success by opening a bottle of wine.<br>The traveler took out a bottle of water from the pack on his back.|他们俩喝了一瓶杜松子酒。<br>男主人拿出了一瓶 12 年的优质麦芽威士忌来招待我们。<br>昨晚他大概喝了半瓶威士忌酒。<br>他打翻了一瓶墨水。<br>我们何不开瓶香槟酒庆祝一下呢？<br>他递给我一瓶桔子汽水。<br>他们开了一瓶酒来庆祝他的成功。<br>那位旅行者从他的背包中拿出了一瓶水。|初中英语单词
初中英语单词|juice|英[dʒuːs] 美[dʒuːs]|n. 果汁；肉汁；消化液；汽油；精力<br>vt. 挤出汁来；使有活力|I like to drink coconut juice.<br>She was drinking juice through a straw.<br>Give the bottle a couple of shakes before pouring the juice.<br>Would you like some tomato juice?<br>She often stews the potatos in meat juice.<br>The main function of intestinal juice is decomposing, and digesting food.<br>We ran out of juice on the motorway.<br>I just don't have the juice anymore.<br>She juiced an orange for her breakfast.<br>Certain scenes were juiced up for commercial purposes.|我喜欢喝椰子汁。<br>她正在用吸管喝果汁。<br>倒果汁前，先把瓶子摇几下。<br>你想要些番茄汁吗？<br>她常用肉汁炖土豆。<br>肠液的主要功能是分解消化食物。<br>我们在高速公路上行驶时汽油用完了。<br>我再也没有那个精力了。<br>她用一只橙子榨汁作早餐饮料。<br>出于商业目的，一些广告场景变得很有吸引力。|初中英语单词
初中英语单词|head|英[hed] 美[hed]|n. 头部；头脑；顶端；领袖；硬币的正面<br>v. 前进；为首；朝向<br>adj. 首要的；前面的|Please raise your head and look at the blackboard.<br>The stone caught him on the side of the head.<br>He had no head for business.<br>We walked straight to the head of the line.<br>He is the head of our school.<br>A coin has two sides,a head and a tail.<br>We are heading home.<br>I would have a chance to head northward quickly.<br>We elected Mr. Stevenson to head the team.<br>The road heads the east.<br>My mother is the head librarian of the school library.<br>He got shocked by the head name on the list.|请抬起头来，看黑板。<br>那块石头击中他头部的侧面。<br>他毫无商业头脑。<br>我们一直朝线路的顶端前进。<br>他是我们学校的校长。<br>硬币有正反两面。<br>我们正向家的方向走去。<br>我很快就有机会去北方了。<br>我们选举了斯蒂文森先生率领这个队。<br>这条路一直朝东。<br>我的妈妈是学校图书馆管理员组长。<br>看到名单上的第一个名字，他震惊不已。|初中英语单词
初中英语单词|nose|英[nəʊz] 美[noʊz]|n. 鼻子；突出部分；嗅觉<br>v. 嗅到；探听|He quirked up his nose to make a face.<br>I wrinkled up my nose at the nasty smell.<br>The child pressed her nose against the window.<br>Insert the nose of the staple remover firmly under the staple.<br>He has a good nose for a secret.<br>His nose told him that he was getting near the cow shed.<br>The dog nosed out a rat.<br>If there is anything wrong with the car, he can nose it out.<br>I'll go and nose about for more news.<br>Don't nose into other people's affairs.<br>That man will nose out a scandal anywhere.|他鼻子一扬作了个鬼脸。<br>我闻到那股难闻的味，皱起了鼻子。<br>那小女孩把鼻子贴在窗户上。<br>将起钉机的尖端牢固地插在缝合钉的下面。<br>他对秘密有好的嗅觉。<br>他的嗅觉告诉他，他正走近牛棚。<br>那只狗闻到了老鼠的气味。<br>要是汽车出了什么毛病，他就能觉察出来。<br>我们去打听一下更多的消息。<br>别干涉他人的事。<br>那个人在什么地方都会探听出丑闻。|初中英语单词
初中英语单词|hair|英[heə(r)] 美[her]|n. 头发；毛发；极少量|I'll have my hair trimmed tomorrow.<br>She wears her hair in a bun.<br>Hair is easy to collect and convenient to store.<br>She won by a hair.|明天我要修剪头发。<br>她把头发盘成一个髻。<br>毛发既容搜集又便于保存。<br>她以微弱的优势获胜。|初中英语单词
初中英语单词|arm|英[ɑːm] 美[ɑːrm]|n. 臂；扶手；袖子<br>n. 武器；军种<br>vt. 武装；装备|You should wind a cloth round the wounded arm.<br>The archer holds the bow in his bow arm.<br>His left arm was hurt in an accident.<br>He draped his legs over the arm of the chair.<br>There's a tear in the arm of my jacket.<br>They were not allowed to use arms.<br>We must arm ourselves against the enemy.<br>The new battleship shall be armed with 16-inch guns.<br>The nation must arm its soldiers for battle.|你应该把一块布缠在受伤的和臂上。<br>运动员用执弓臂握住弓。<br>他的左胳膊在一次事故中受伤了。<br>他懒洋洋地把双腿搭在椅子的扶手上。<br>我上衣袖子上有个破囗。<br>不许他们使用武器。<br>我们必须武装自己，防范敌人。<br>新战舰将以 16 英寸口径的大炮武装起来。<br>国家必须装备士兵，以防打仗。|初中英语单词
初中英语单词|foot|英[fʊt] 美[fʊt]|n. 脚；英尺；最底部；音步<br>v. 表演舞步；步行；付账；踏；共计|I apologized to her for stepping on her foot.<br>I hurt my foot while playing football.<br>They sank the post two feet deep in the ground.<br>I missed the target by one foot.<br>They camped at the foot of the mountain.<br>He sat on the foot of the bed.<br>We foot it all the night.<br>We have missed the last bus,so we'll have to foot it.<br>We decided to foot it over to the convenience store.<br>I suppose Jim will foot the bill as usual.<br>Let me foot the bill,if you don't mind.<br>He wildly stamped the chair with his foot.<br>I stepped in a puddle and got my foot wet.<br>His debts foot up to a huge sum.<br>The expenses foot up to 50 dollars.|我因踩了她一脚向她道歉。<br>在踢足球时，我的脚受伤了。<br>他们把这根柱子在地下埋了两英尺深。<br>我差一英尺就击中目标。<br>他们在山脚下露营。<br>他坐在床脚处。<br>我们跳了一整夜的舞。<br>我们没有赶上最后一班公共汽车，只有步行了。<br>我们决定步行去便利店。<br>我想吉姆会像往常一样付账的。<br>如果你不介意，就让我付账吧。<br>他粗野地把一只脚踏在椅子上。<br>我踏进一个小水潭，把脚弄湿了。<br>他欠的债加起来是一笔巨款。<br>费用共计 50 美元。|初中英语单词
初中英语单词|wardrobe|英['wɔːdrəʊb] 美['wɔːrdroʊb]|n. 衣橱，衣柜；全部服装|The wardrobe takes up too much space.<br>All the shirts hang together in the same wardrobe.<br>Such an outfit would be a useful addition to my wardrobe.|这衣橱太占地方了。<br>所有的衬衫都挂在同一个衣橱里。<br>在我的服装中添置这一套会有用的。|初中英语单词
初中英语单词|day|英[deɪ] 美[deɪ]|n. 白天；一天；时代|Owls sleep by day and work at night.<br>There will be occasional showers during the day.<br>He is seldom at home during the day.<br>You can see stars by night, but not by day.<br>He has been working all day.<br>The eggs began to decompose after a day in the sun.<br>The milkman comes every other day.<br>He was a great singer once but now he's had his day.|猫头鹰白天睡觉晚上工作。<br>白天将偶有阵雨。<br>他白天很少在家。<br>你在夜晚可以看到星星，白天却看不到。<br>他已工作了一整天。<br>鸡蛋在太阳下放了一天后开始变坏。<br>送牛奶的人每隔一天来一次。<br>他曾是个红歌星，但现在风华已去。|初中英语单词
初中英语单词|from|英[frəm] 美[frəm]|prep. 出自；来自；从……起）|He descended from a good family.<br>From what author does this quotation come?<br>My answer seemed to come from the subconscious.<br>I had a phone call from Mary.<br>We are all here, but we come from afar.<br>The child got his nurture from his loving parents.<br>The train starts from Beijing.<br>The shop is open from this day onwards.<br>We lived in Scotland from 1960 to 1973.<br>He worked like a black from the time he was twelve.<br>The dog roused a deer from the bushes.|他出自名门。<br>这一引文出自哪位作者？<br>我的回答似乎出自下意识。<br>我接到了玛丽的电话。<br>虽然我们此时在这儿，但我们来自远方。<br>这个孩子的教育来自他慈爱的双亲。<br>这辆火车从北京开出。<br>该店从今天起开始营业。<br>我们从 1960 年到 1973 年住在苏格兰。<br>他从 12 岁起就拼命干活了。<br>狗惊起了丛林中的一只鹿。|初中英语单词
初中英语单词|zoo|英[zuː] 美[zuː]|n. 动物园；拥挤杂乱的地方|He saw some amazing sights at the zoo.<br>Did you see any elephants in the zoo last week?<br>I'll meet you at the entrance of the zoo tomorrow.<br>Predictably, the mixed zone was a zoo.<br>This place turns into zoo at this time of day.|他在动物园里看到一些珍禽异兽。<br>上星期你在动物园里看到大象了吗？<br>明天我会在动物园的入口处和你见面。<br>正如所料，混合区里一片拥挤。<br>这个地方在每天这个时候都热闹非凡。|初中英语单词
初中英语单词|away|英[ə'weɪ] 美[ə'weɪ]|adv. 离开；远离；在远处；一直；朝另一个方向；消失<br>adj. 不在的；遥远的；[棒]出局的；客场的|He lives 3 miles away from here.<br>I hope to get away early in the morning.<br>He lives in retirement, away from everyone.<br>I tried to keep the child away from the pool.<br>We stand on the top of the dam, casting our eyes far away.<br>The baby is sleeping away quietly.<br>I found him working away in his office.<br>She looked away as peach flooded her cheeks.<br>The radiance of the sunset died away.<br>The sound fainted away in the distance.<br>The neighbors are away.<br>The city is miles away.<br>The count is three and two with two away in the seventh.<br>They lost all their away matches.|他住在距离这里三英里的地方。<br>我希望一早就动身离开。<br>他远离大家隐居着。<br>我设法使孩子远离水池。<br>我们站在大坝的顶上往远处看。<br>那婴儿一直安静地睡着。<br>我发现他一直不停地在办公室里工作。<br>她双颊泛出红晕，视线转向别处。<br>夕阳的余辉渐渐地消失了。<br>声音在远处渐渐消失了。<br>邻居不在家。<br>这个城市在几英里之外。<br>现在是第七局，两好球三坏球，两人出局。<br>他们输了所有的客场比赛。|初中英语单词
初中英语单词|put away|英[pʊt ə'weɪ] 美[pʊt ə'weɪ]|v. 收拾；放好；储存；吃；放弃；打消；<口>关押|This vase wasn't wiped out properly before it was put away.<br>Put your toys away in the cupboard, when you've finished playing.<br>She's got a few thousand pounds put away for her retirement.<br>I don't know how he manages to put it all away!<br>He must have put away half a bottle of whisky last night.<br>It's time to put away those foolish ideas.<br>It's time to put away those foolish ideas and become serious.|这个花瓶没擦干净就收起来了。<br>你把玩具玩儿完了以后放进柜子里去。<br>她已存了几千镑以备退休之用。<br>我真不知道他怎么吃得这样多！<br>昨晚他大概喝了半瓶威士忌酒。<br>是该放弃那些愚蠢的想法了。<br>是打消那些愚蠢想法，认真对待的时候了。|初中英语单词
初中英语单词|out|英[aʊt] 美[aʊt]|adv. 出；在外；完<br>prep. 向外；在外面<br>v. 出来；暴露；驱逐；熄灭；伸出；公开…的同性恋身份|His book came out last month.<br>He took out a book from the case.<br>Students may not stay out after midnight.<br>I went out into the cold and got a chill.<br>The fire has gone out.<br>The fuel was rapidly running out.<br>They heard a yap and ran out of the house.<br>He stared vacantly out of the window.<br>Mr Green is out of town this week.<br>The truth will out.<br>I was outed by my wife.<br>And the fire was outed.<br>The tabloid article has outed a well-known politician.|他的书上个月出版了。<br>他从箱子里拿出一本书。<br>学生午夜后不得在外逗留。<br>我走到户外的冷空气里打了个寒颤。<br>火已熄灭。<br>燃料很快就要用完了。<br>他们听见了一声狂吠就跑出了屋外。<br>他茫然若失地从窗子往外看。<br>格林先生本星期不在伦敦。<br>真相终将大白于天下。<br>我让老婆给赶出来了。<br>而且火也已经熄灭了。<br>小报公开了一个知名政客的同性恋身份。|初中英语单词
初中英语单词|come out|英[kʌm aʊt] 美[kʌm aʊt]|vi. 出现；显露；出版；结果是；公开表态；被算出，被解出；表明态度，提出主张|Bats come out only at night.<br>Hot weather makes her come out in a rash.<br>Her best qualities come out in a crisis.<br>That magazine comes out once a month.<br>She's been much happier since she came out.<br>The governor came out in favor of tax breaks.|蝙蝠只在晚上出来活动。<br>因天气炎热，她起了皮疹。<br>在危急关头显露出了她的优秀品质。<br>那个杂志每月出一期。<br>她公开了自己是同性恋者以后就快活多了。<br>这位政府官员公开宣布赞成停止征税|初中英语单词
初中英语单词|sock|英[sɒk] 美[sɑːk]|n. 短袜|There is a hole in my sock.<br>He selected a pair of socks to match his suit.|我的袜子上有个洞。<br>他挑选了一双与他衣服相配的短袜。|初中英语单词
初中英语单词|other|英['ʌðə(r)] 美['ʌðər]|adj. 其他的；另外的；另一个；另一边<br>pron. 其他（人或物）<br>n. 其他人（或事）<br>adv. 以其他方式|They discussed the weather and other topics.<br>He overtook the other runners on the last lap.<br>Problems always lead to other problems.<br>My other sister is a doctor.<br>He raised one arm and then the other.<br>She stood on the other side of the fence.<br>My office is on the other side of town.<br>After her departure the others resumed the discussion.<br>You can't get there other than by swimming.|他们讨论了气候和其他的话题。<br>他在最后一圈时超过了其他的赛跑选手。<br>有些问题总是连带着另外的问题。<br>我的另一个妹妹是医生。<br>他先举起一只手，然后举起另一只。<br>她站在篱笆的另一边。<br>我的办公室在市区的另一边。<br>她走之后，其余的人继续讨论<br>你只能靠游泳游到那边去。|初中英语单词
初中英语单词|wrong|英[rɒŋ] 美[rɔːŋ]|adj. 错误的；有毛病的；不适当的；不道德的<br>adv. 错误地<br>n. 不义行为；坏事；犯罪；欺骗；错误；不公正<br>v. 冤枉；不公正地对待|I am afraid you've made a wrong decision.<br>I'm not going to bow down to such wrong opinions.<br>There is something wrong with the car.<br>What's wrong with the engine? It's making an awful noise.<br>A correct word used in a wrong cultural or religious context is a wrong word.<br>It is wrong to steal.<br>You've spelt the word wrong.<br>Children must be taught the difference right and wrong.<br>Her son can do no wrong in her eyes.<br>People who do wrong are punished.<br>Extreme right is extreme wrong.<br>But they are not in the wrong at all.<br>Wrong must be righted when they are discovered.<br>You wronged him by saying that he had lied.<br>You wrong me if you think I only did it for selfish reasons.<br>He was wronged by the federal judges and the authorities.<br>The important thing is not to wrong any woman.|恐怕你做了一个错误的决定。<br>我不打算听从这种错误的意见。<br>这车有点毛病。<br>发动机出什麽故障了？噪音太大了。<br>一个正确的字用在一个不适当的文化或宗教背景里，也将成为一个错字。<br>偷窃是不道德的。<br>你把这个单词拼错了。<br>必须教儿童分清是非。<br>在她眼里，她的儿子不可能做坏事。<br>犯罪的人要受处罚。<br>正确走向极端即成谬误。<br>但是他们完全没有错误。<br>发现了错误一定要纠正。<br>你说他说谎是冤枉了他。<br>如果你觉得我做这件事只是为了自己的话，你就冤枉我了。<br>他被法官和当局冤枉了。<br>重要的是不要不公正地对待任何妇女。|初中英语单词
初中英语单词|broken|英['brəʊkən] 美['broʊkən]|adj. 弄坏的；破碎的<br>动词 break 的过去分词。|He likes to tinker at broken gadgets.<br>Can you glue the broken vase together?<br>The broken windows have been boarded up.|他喜欢摸弄坏掉的小器具。<br>你能把破碎的花瓶黏合起来吗？<br>破碎的窗户已被木板封住。|初中英语单词
初中英语单词|catch|英[kætʃ] 美[kætʃ]|v. 赶上；抓住；捕捉；领会<br>n. 捕捉；捕获物；陷阱|We're just in time to catch the train.<br>The police are tracking down him and hope to catch him soon.<br>It is natural for a cat to catch mice.<br>That's a nice catch.<br>The fisherman had a good catch.<br>There must be a catch to that last question.|我们正好赶上了火车。<br>警察正在搜捕他并希望能很快抓住他。<br>猫捉老鼠是本能。<br>那球接得好。<br>渔夫捕到许多鱼。<br>最後那个问题里面一定有圈套。|初中英语单词
初中英语单词|get down|英[ɡet daʊn] 美[ɡet daʊn]|vt. 下来；写下；咽下；使沮丧；压垮；着手；砍倒；击落；拿下，取下|The medicine is too bitter to get down.<br>Let's strip away the cant and get down to bedrock.<br>He got down to his work after the holidays.<br>He jotted down a note for her and then left.<br>Wash the dry cake down with tea.<br>I hate to have to choke down these pills.<br>Susan was completely weighed down by the stress of examinations.<br>It is likely that she will be crushed down by the bad news.<br>I think you will like to get down to work now.<br>They set out to drive a well to get well water.|药太苦了，吞不下去。<br>咱们少说漂亮话，多谈实质问题吧。<br>度假之後他开始专心工作。<br>他匆匆为她写下了一个条子然后离开了。<br>用茶把乾蛋糕咽下去。<br>我讨厌不得不费力地去咽下这些药片。<br>苏珊被考试的压力压垮了。<br>很可能她会被这可悲的消息压垮。<br>我想现在你要认真着手工作。<br>他们着手凿井取水。|初中英语单词
初中英语单词|him|英[hɪm] 美[hɪm]|pron. 他（he 的宾格）|The accident left him with paralysis of the legs.<br>His blindness is a great trial to him.|事故使他双腿瘫痪。<br>眼睛瞎对他来说是非常麻烦的事。|初中英语单词
初中英语单词|goodness|英['ɡʊdnəs] 美['ɡʊdnəs]|n. 善良；美德；精华<br>int. 天哪|He keeps extolling her goodness.<br>Does goodness charm more than beauty?<br>She's the very incarnation of goodness.<br>Goodness often charms more than mere beauty.<br>He was as ready to absorb every bit of goodness in a thing as he was lavish in singing its praises.|他对她的善良赞不绝口。<br>善良是否比美色更为人们所欣赏？<br>她是美德的化身。<br>美德比徒具美貌更迷人。<br>正如他在歌声中极力颂扬的美好的事物一样，他也乐意吸收一样事物中点滴的精华。|初中英语单词
初中英语单词|plane|英[pleɪn] 美[pleɪn]|n. 飞机；水平；平面<br>n. 刨子<br>n. 悬铃木<br>adj. 平的；飞机的<br>vt. 磨平；刨<br>vi.（鸟、飞机）滑翔|The plane flew high above.<br>The plane circled the airport before landing.<br>Let's keep the conversation on a friendly plane.<br>The plane is two dimensional in points.<br>This machine should be fixed on a plane surface.<br>The carpenter evened a board with a plane.<br>The bark of plane trees peels off regularly.<br>The dense fog delayed the plane's start.<br>Just then, they heard the noise of a plane.<br>He has planed the plank smooth.<br>Please plane the knots off those tree trunks.<br>Seagulls planed over the cliffs.|飞机高高地在上空飞。<br>飞机在着陆之前在机场上空盘旋。<br>让我们友好地谈话。<br>平面在点几何中是二维的。<br>这个机器应该固定在平面上。<br>那位木工用刨刨平一块木板。<br>悬铃木的树皮到时候就脱落。<br>浓雾延误了飞机的起飞。<br>就在这时，他们听到一阵飞机的轰鸣。<br>他已把木板刨平。<br>请刨掉树干上突起的小结。<br>海鸥在翱翔，飞过了悬崖。|初中英语单词
初中英语单词|mend|英[mend] 美[mend]|vt. 修理；修补；改进<br>vi. 改过自新；改进；痊愈<br>n. 修补；改进；修补处|We need an electrician to mend the iron.<br>It won't take long to mend the car.<br>He sent for someone to mend the broken window.<br>You'll have to mend your ways if you want to be successful in your job.<br>It is never too late to mend.<br>The patient is mending well.<br>At length the crisis of the old man's disorder was past, and he began to mend.<br>The mends were almost invisible.<br>The doctor said that he was on the mend.<br>The coat has a mend on the elbow.|我们要请电工修理熨斗。<br>修理这辆汽车用不了很长时间。<br>他叫人来修补破窗子。<br>如果你想在你的工作中取得成绩的话，你一定要有所改进。<br>改过不嫌晚。<br>这个病人的病情正在好转。<br>老人的危险期终于度过了，他开始痊愈起来。<br>修补过的地方几乎看不出来。<br>医生说他的病情正在好转。<br>这件外套的肘部补过。|初中英语单词
初中英语单词|knife|英[naɪf] 美[naɪf]|n. 刀<br>v. 用刀切割|He cleaved an apple with a knife.<br>I picked up the knife and threw it out of the window.<br>His cheek was badly scarred by a knife cut.<br>The victim had been knifed in the chest.|他用一把刀子将苹果切开。<br>我拿起了那把刀，把它扔到了窗外。<br>他的面颊上留有严重的刀疤。<br>受害人胸部中刀。|初中英语单词
初中英语单词|robot|英['rəʊbɒt] 美['roʊbɑːt]|n. 机器人；机械呆板的人；自动机；（非洲南部）自动交通信号灯|The toy robot moved forward with quick jerky steps.<br>Japanese industry is making increasing use of robots.<br>The robot is a marvel of modern engineering.|玩具机器人一颠一颠地走得很快。<br>日本工业越来越多地使用机器人。<br>机器人是现代工程技术的奇迹。|初中英语单词
初中英语单词|body|英['bɒdi] 美['bɑːdi]|n. 身体；主体；正文；主要部分；尸体；躯体；团体<br>v. 赋…以形体|A balanced diet provides nutrition for your body.<br>Alcoholic drink can have a bad effect on your body.<br>He is not mentioned in the main body of the text.<br>The only part you need to read carefully is the body of your contract.<br>The audience sat in the body of the hall.<br>The police found a body at the bottom of the lake.<br>The body was cold and showed no signs of life.<br>He chiselled the body in and became a member of it.<br>Imagination bodies forth the forms of things unknown.|均衡的食物使你的身体获得营养。<br>含酒精的饮料会对你身体有很坏的影响。<br>文章的主体中没有提到他。<br>你只需仔细阅读合同的正文部分。<br>观众坐在大厅中间。<br>警方在湖底发现了一具尸体。<br>那躯体冰凉，显现不出有生命的迹象。<br>他钻进了这个团体，并成了它的成员。<br>想象让这些未知事物形状具体。|初中英语单词
初中英语单词|broke|英[brəʊk] 美[broʊk]|adj.<非正式>一文不名的；破产的<br>v. 打碎；折断；违背；解决；中断（动词 break 的过去式）|He broke the record in the high jump competition.|他打破了高跳比赛的记录。|初中英语单词
